timestamp,reading
29/01/2020 09:00:00,58779
29/01/2020 16:10:00,58784
29/01/2020 20:35:00,58792
30/01/2020 08:50:00,58804
30/01/2020 19:22:00,58807
30/01/2020 22:21:00,58812
31/01/2020 06:57:00,58818
31/01/2020 08:08:00,58819
02/02/2020 17:39:00,58832
04/02/2020 08:23:00,58861
05/02/2020 16:20:00,58886
06/02/2020 17:55:00,58904
07/02/2020 08:20:00,58917
08/02/2020 22:03:00,58945
10/02/2020 12:54:00,58991
11/02/2020 09:09:00,59021
11/02/2020 17:35:00,59024
14/02/2020 14:52:00,59107
16/02/2020 15:32:00,59178
16/02/2020 17:51:00,59181
17/02/2020 08:25:00,59190
17/02/2020 17:12:00,59195
17/02/2020 20:12:00,59198
18/02/2020 08:16:00,59203
18/02/2020 09:00:00,59204
18/02/2020 18:37:00,59205
19/02/2020 08:13:00,59231
19/02/2020 18:58:00,59232
20/02/2020 06:39:00,59247
20/02/2020 17:28:00,59254
20/02/2020 19:04:00,59256
21/02/2020 06:40:00,59268
21/02/2020 08:21:00,59274
22/02/2020 07:56:00,59289
24/02/2020 08:47:00,59317
25/02/2020 16:43:00,59352
26/02/2020 20:18:00,59382
28/02/2020 14:10:00,59420
03/03/2020 09:24:00,59518
05/03/2020 17:40:00,59562
06/03/2020 08:37:00,59580
06/03/2020 18:17:00,59592
07/03/2020 11:29:00,59606
08/03/2020 18:23:00,59618
09/03/2020 08:20:00,59634
11/03/2020 22:18:00,59687
12/03/2020 10:19:00,59695
12/03/2020 18:38:31,59700
16/03/2020 12:31:06,59798
24/03/2020 12:37:00,59962
31/03/2020 12:37:32,60060
05/04/2020 19:05:16,60156
13/04/2020 21:09:34,60270
18/04/2020 10:56:20,60334
06/05/2020 10:16:30,60619
20/05/2020 15:28:49,60833
24/05/2020 11:03:36,60887
24/06/2020 20:49:12,61342
29/07/2020 11:41:22,61817
20/08/2020 12:53:02,62079
20/09/2020 12:47:51,62463
27/09/2020 11:55:09,62566
